,region_name,district_name,kanton_name
292,Beromünster,Sursee,Luzern
293,Grandson,Jura-Nord vaudois,Vaud
294,Prato (Leventina),Leventina,Ticino
295,Evolène,Hérens,Valais / Wallis
296,Remigen,Brugg,Aargau
297,Möhlin,Rheinfelden,Aargau
298,Läufelfingen,Sissach,Basel-Landschaft
299,Hasle (LU),Entlebuch,Luzern
300,Céligny,Canton de Genève,Genève
301,Siselen,Seeland,Bern / Berne
302,Kaiseraugst,Rheinfelden,Aargau
303,Rheineck,Rheintal,St. Gallen
304,Hauterive (NE),Neuchâtel,Neuchâtel
305,Stettlen,Appenzell Ausserrhoden,Bern / Berne
306,Croglio,Lugano,Ticino
307,Bremblens,Morges,Vaud
308,Grancy,Morges,Vaud
309,Hermenches,Broye-Vully,Vaud
310,Blauen,Laufen,Basel-Landschaft
311,Stein (AR),Appenzell Ausserrhoden,Appenzell Ausserrhoden
312,Eschenbach (LU),Hochdorf,Luzern
313,Belp,Appenzell Ausserrhoden,Bern / Berne
314,Mergoscia,Locarno,Ticino
315,Zeneggen,Visp,Valais / Wallis
316,Egg,Uster,Zürich
317,Kleinandelfingen,Andelfingen,Zürich
318,Winterthur,Winterthur,Zürich
319,Täuffelen,Seeland,Bern / Berne
320,Niederbüren,Wil,St. Gallen
321,Dorf,Andelfingen,Zürich
322,Icogne,Sierre,Valais / Wallis
323,Ropraz,Broye-Vully,Vaud
324,Dierikon,Luzern-Land,Luzern
325,Bichelsee-Balterswil,Münchwilen,Thurgau
326,Cudrefin,Broye-Vully,Vaud
327,La Sarraz,Morges,Vaud
328,Anwil,Sissach,Basel-Landschaft
329,Röschenz,Laufen,Basel-Landschaft
330,Goldach,Rorschach,St. Gallen
331,Val-d'Illiez,Monthey,Valais / Wallis
332,Lüterswil-Gächliwil,Bucheggberg,Solothurn
333,Fahrni,Thun,Bern / Berne
334,Würenlingen,Baden,Aargau
335,Burgistein,Thun,Bern / Berne
336,Walenstadt,Sarganserland,St. Gallen
337,Boussens,Gros-de-Vaud,Vaud
338,Geltwil,Muri,Aargau
339,Simplon,Brig,Valais / Wallis
340,Heitenried,Sense,Fribourg / Freiburg
341,Remaufens,La Veveyse,Fribourg / Freiburg
342,Fahy,Porrentruy,Jura
