,percentage_population_in_detached_houses,population,population_per_km2,percentage_detached_houses,percentage_flats_3to4_rooms,taxable_income_in_mio_CHF,taxable_income_per_taxable_person_in_chf,share_electric_cars,share_pv,share_renewable_heating,Heating data coverage,mean_electricity_tarif_2021_rp_per_kwh,% Ja,% participation,vote_accepted,temp_mean,pv_out_mea,NUMPOINTS,permanent_resident_population_%,swiss_citizen_%,foreign_citizen_%,age_0to14_%,age_15to19_%,age_20to39_%,age_40to59_%,age_60to64_%,age_65tomore_%,men_%
587,25.736235600000004,777,172.66666669999995,37.5,58.37696335,16.6116,57479.58478,0.00584,0.05938,0.439,0.9878,22.19966667,48.49,62.28,0,8.08033125494331,3.26390683428841,42,0.9987129987129987,0.963963963963964,0.03474903474903475,0.15958815958815958,0.0682110682110682,0.25868725868725867,0.296010296010296,0.059202059202059204,0.15701415701415702,0.4839124839124839
588,51.51924375,1477,234.8171701,66.20689655,47.86324786,43.1942,72840.13491000001,0.01185,0.0863,0.4404,0.9736,17.77266667,44.03,59.02,0,10.1215116478676,3.21812790770863,25,0.9038591740013541,0.8253215978334462,0.07853757616790792,0.13473256601218686,0.05890318212593094,0.18686526743398782,0.3378469871360867,0.06567366283006093,0.11983750846310089,0.45429925524712256
589,21.73560422,2460,108.1318681,37.52310536,47.90739092,52.3328,59672.51995,0.0029,0.03413,0.5027,0.981,18.86307692,34.52,68.51,0,6.2653061551740885,3.0894195014387,35,0.9357723577235773,0.8032520325203252,0.13252032520325202,0.18292682926829268,0.05934959349593496,0.2508130081300813,0.2890243902439024,0.03739837398373984,0.11626016260162601,0.47235772357723577
590,48.64247653,3936,700.3558719,68.45397677,44.39128123,118.5602,70071.04019,0.01379,0.05366,0.2991,0.6247,19.956,42.88,59.59,0,9.95123965287011,3.25971073946677,20,1.0002540650406504,0.8076727642276422,0.19258130081300814,0.16107723577235772,0.05157520325203252,0.24517276422764228,0.30284552845528456,0.060721544715447155,0.17886178861788618,0.5005081300813008
591,24.86118122,15763,625.515873,48.69727047,53.51174477,438.2929,62613.27142999999,0.00988,0.04281,0.2226,0.974,17.476,42.5,66.12,0,7.68705886307885,3.18657882185543,30,0.9973355325762863,0.7869060458034638,0.21042948677282244,0.13544376070544947,0.0542409439827444,0.27710461206623105,0.2873184038571338,0.06439129607308254,0.17883651589164498,0.50206179026835
592,29.40948296,43279,263.5428084,66.74257686,65.69137493,495.5501,65687.9772,0.00899,0.03447,0.2956,0.9912,18.70866667,44.5,48.65,0,8.55156697761639,3.4401481436868,34,0.4230227130941103,0.29346796367753414,0.12955474941657616,0.05755678273527577,0.020610457727766353,0.10748862034705053,0.12502599413110285,0.02456156565539869,0.08777929249751612,0.19933455024376717
593,44.27981996,5320,955.1166966,73.86185243,60.62300319,150.4827,69410.83948,0.01013,0.06381,0.2132,0.9967,18.23333333,46.98,59.38,0,10.306293767649,3.2329720300394302,34,0.9424812030075188,0.6827067669172933,0.25977443609022555,0.13327067669172932,0.05075187969924812,0.25300751879699246,0.28909774436090224,0.060526315789473685,0.15582706766917293,0.45827067669172933
594,38.88091822,688,84.72906404,55.95854922,57.27554179999999,25.3534,85943.72881,0.01532,0.03696,0.2857,0.9911,22.67916667,53.16,57.49,1,10.2283820094101,3.5568143246344603,24,1.0363372093023255,0.8473837209302325,0.18895348837209303,0.18023255813953487,0.056686046511627904,0.251453488372093,0.36773255813953487,0.03924418604651163,0.14098837209302326,0.5247093023255814
595,33.27974277,1248,80.41237113,45.05494505,57.9277865,29.6475,56795.97701,0.007259999999999998,0.04692,0.3794,0.9894,20.38916667,48.49,62.28,0,8.08033125494331,3.26390683428841,42,0.9791666666666666,0.9391025641025641,0.04006410256410257,0.1282051282051282,0.047275641025641024,0.21314102564102563,0.2900641025641026,0.06971153846153846,0.23076923076923078,0.4983974358974359
596,18.39395267,8930,1856.548857,60.77872745,60.5,229.2939,71631.95876000001,0.00976,0.0724,0.1538,0.9672,18.105,53.16,57.49,1,11.859523852666197,3.58689286027636,22,0.9198208286674132,0.5810750279955207,0.33874580067189247,0.1477043673012318,0.05307950727883538,0.2648376259798432,0.2768197088465845,0.04669652855543113,0.13068309070548711,0.4623740201567749
597,19.79990571,18399,1601.305483,48.92248311,63.37133246,582.643,65731.38537999999,0.01058,0.02394,0.1011,0.9575,20.19,43.86,59.14,0,10.1087838056925,3.1795608111330003,14,0.9692374585575303,0.6909071145170933,0.278330344040437,0.11712593075710637,0.037773792053915976,0.3204521984890483,0.2575683461057666,0.04848089570085331,0.1878362954508397,0.47491711506060114
598,50.25773196,1935,344.3060498000001,68.38365897,50.32258065,54.7403,67580.61727999999,0.01061,0.01709,0.1787,0.66,16.766,48.49,62.28,0,9.363414729513767,3.294634138665549,16,1.0082687338501293,0.9260981912144702,0.08217054263565891,0.15400516795865632,0.06098191214470284,0.1958656330749354,0.324031007751938,0.06614987080103359,0.20723514211886304,0.49147286821705427
599,47.37889847,1513,197.7777778,63.57894737,53.22376738,38.5159,59807.29814,0.01305,0.05861,0.2243,0.6012,21.92571429,48.49,62.28,0,9.80937499446528,3.28648214255061,5,0.9299405155320555,0.8426966292134831,0.08724388631857237,0.12227362855254462,0.051553205551883675,0.1969596827495043,0.27825512227362853,0.059484467944481166,0.22141440846001323,0.46596166556510243
600,54.52526374,1795,367.0756646,74.48979592,43.625,51.2317,71254.10292,0.01091,0.01888,0.2857,0.9935,17.415,44.03,59.02,0,10.0667968764901,3.2110117236152296,48,0.9309192200557103,0.7910863509749304,0.13983286908077994,0.14707520891364903,0.06016713091922005,0.22841225626740946,0.298050139275766,0.05515320334261838,0.14206128133704735,0.4713091922005571
601,47.20700986,910,202.6726058,67.06349206,44.24379233,27.2033,75147.23757,0.01327,0.10191,0.4370000000000001,0.9953,13.78916667,44.03,59.02,0,10.380341872190801,3.24876068290482,10,0.8857142857142857,0.7967032967032966,0.08901098901098901,0.12857142857142856,0.06153846153846154,0.2164835164835165,0.3021978021978022,0.06373626373626373,0.11318681318681319,0.4747252747252747
602,28.05907173,473,265.7303371,51.40186916,44.01913876,25.0918,140177.6536,0.01563,0.00915,0.1593,0.9901,18.305,53.16,57.49,1,9.13192490979166,3.5276181529945,42,1.0042283298097252,0.733615221987315,0.27061310782241016,0.18181818181818182,0.0613107822410148,0.25158562367864695,0.30021141649048627,0.05496828752642706,0.1543340380549683,0.48625792811839325
603,21.42186452,7432,260.13300669999995,43.17484663,52.80140804,185.6223,62205.86461,0.00784,0.10019,0.5437,0.9812,17.80785714,47.98,65.23,0,9.72484604680808,3.0558254584149904,62,0.9402583423035522,0.8320775026910656,0.10818083961248655,0.1459903121636168,0.06189451022604951,0.2498654467168999,0.301264800861141,0.04642088266953714,0.13482238966630786,0.47389666307857914
604,11.50196456,25984,777.7312182000002,48.33040422,51.80380768,781.9116,71623.30311000001,0.01105,0.028960000000000007,0.114,0.9867,19.205,53.16,57.49,1,7.3675373450144015,3.41402985222304,34,1.0172798645320198,0.536253078817734,0.4810267857142857,0.12638546798029557,0.08335899014778325,0.28963977832512317,0.26943503694581283,0.05553417487684729,0.19292641625615764,0.4805264778325123
605,57.57062147,1785,398.4375,74.04580153,48.441247,51.1389,66500.52016,0.01063,0.09506,0.4927,0.9495,20.80916667,43.86,59.14,0,10.1087838056925,3.1795608111330003,14,0.9669467787114846,0.8633053221288516,0.10364145658263306,0.15742296918767507,0.05378151260504202,0.22969187675070027,0.3030812324929972,0.06162464985994398,0.16134453781512606,0.4935574229691877
606,29.04834996,2564,211.5511551,53.34538879,54.24266455,53.2501,64623.90777000001,0.0053100000000000005,0.07887000000000001,0.3339,0.9804,19.54266667,53.16,57.49,1,10.5108986903787,3.4844875682152496,14,0.8709048361934477,0.655616224648986,0.21528861154446177,0.1544461778471139,0.06435257410296412,0.23361934477379095,0.25234009360374415,0.037051482059282374,0.12909516380655225,0.4262870514820593
